iter	MultiRMSE
149	0.166541832
150	0.1650415187
151	0.1641273403
152	0.1633954247
153	0.1621543607
154	0.1613986002
155	0.1606423613
156	0.1601585112
157	0.1591783043
158	0.1583756968
159	0.1573899499
160	0.1565694194
161	0.1551395177
162	0.1537443027
163	0.1533237114
164	0.1522508175
165	0.1515107553
166	0.1505184571
167	0.1500048667
168	0.1492090908
169	0.1485021437
170	0.1476937649
171	0.1470238389
172	0.1464021418
173	0.145625687
174	0.1450426714
175	0.1443883951
176	0.1437112163
177	0.1426923753
178	0.1417907825
179	0.1405773266
180	0.1400106418
181	0.1392917049
182	0.1376945373
183	0.1359104007
184	0.134814312
185	0.1337816537
186	0.1327363931
187	0.132070603
188	0.1314327943
189	0.1308190918
190	0.13037263
191	0.1298558157
192	0.1290732237
193	0.1284003359
194	0.1277168502
195	0.1269310262
196	0.1260363878
197	0.12519789
198	0.1244425463
199	0.123820612
200	0.1230245533
201	0.1225895754
202	0.1219103725
203	0.1214865158
204	0.1208866523
205	0.1205772515
206	0.1200828777
207	0.119711919
208	0.1191008486
209	0.1183575839
210	0.1177490853
211	0.1168760655
212	0.1162658629
213	0.1156080015
214	0.115127334
215	0.1148249182
216	0.1144616861
217	0.1137639806
218	0.112979461
219	0.1121655734
220	0.1117279004
221	0.1111374302
222	0.110433848
223	0.1095650439
224	0.1091886046
225	0.1088742461
226	0.1083317259
227	0.1079392384
228	0.1073528406
229	0.106981064
230	0.106302683
231	0.1057785429
232	0.1052210079
233	0.104456031
234	0.1039792719
235	0.1032895799
236	0.1024074257
237	0.1021585823
238	0.1011446535
239	0.1007128512
240	0.100188029
241	0.09979770199
242	0.09925505687
243	0.09903820184
244	0.098669129
245	0.09791397143
246	0.09754399627
247	0.09736174449
248	0.09673929476
249	0.09601936217
250	0.09583327677
251	0.09516115647
252	0.09478938394
253	0.09433801251
254	0.093636589
255	0.09343546448
256	0.09290903655
257	0.09245180745
258	0.09227231423
259	0.0920609611
260	0.09161907591
261	0.09121479165
262	0.09070306169
263	0.09018999223
264	0.08975468626
265	0.08942619253
266	0.08888312878
267	0.08851765972
268	0.08831541545
269	0.08772453928
270	0.08738787514
271	0.08703120477
272	0.08659492884
273	0.0861047672
274	0.08573032982
275	0.08549779907
276	0.08527190553
277	0.08500382327
278	0.08449039555
279	0.08414931003
280	0.08383723336
281	0.08351853782
282	0.08319524404
283	0.0825949585
284	0.08248408874
285	0.08212874885
286	0.08181104217
287	0.08160182634
288	0.08095730538
289	0.08075465976
290	0.08041667255
291	0.08020531112
292	0.07972081705
293	0.07933220928
294	0.07895132786
295	0.07871699418
296	0.07838932183
297	0.07820828609
298	0.07804013366
299	0.07761531316
300	0.07738704019
301	0.07716728657
302	0.07687939672
303	0.07666258461
304	0.07620162396
305	0.07560804948
306	0.07525385721
307	0.07497312344
308	0.07469937135
309	0.07429354699
310	0.07403028524
311	0.07387383578
312	0.07350934851
313	0.07303922783
314	0.07290265617
315	0.07264991205
316	0.07242537788
317	0.07206982305
318	0.07180827006
319	0.07160871582
320	0.07135411439
321	0.07118448386
322	0.07104721516
323	0.07087181829
324	0.07073648843
325	0.0703732699
326	0.0701025877
327	0.06973720089
328	0.06940639235
329	0.06914995229
330	0.0687946961
331	0.06845239434
332	0.06816269882
333	0.06799300188
334	0.06762948111
335	0.06737306716
336	0.0670458696
337	0.06680058415
338	0.06652418609
339	0.06632323673
340	0.0658306903
341	0.06554447547
342	0.06532497576
343	0.06489667026
344	0.06459487342
345	0.06435703371
346	0.06424696474
347	0.06393928564
348	0.06379739749
349	0.06352350752
350	0.06323292815
351	0.06302060488
352	0.06291308188
353	0.06264520437
354	0.06249818393
355	0.06228580354
356	0.06206819633
357	0.0617115466
358	0.06151924861
359	0.0613998352
360	0.06119256547
361	0.06110621771
362	0.06086703008
363	0.06069290977
364	0.06021953206
365	0.06001106939
366	0.05985485242
367	0.05962750838
368	0.0593322281
369	0.05914843646
370	0.05889912682
371	0.05866050833
372	0.05838929199
373	0.05796371058
374	0.05773013679
375	0.05755340437
376	0.05736218887
377	0.05692635657
378	0.05663008676
379	0.05644927339
380	0.05631436629
381	0.0560398029
382	0.05587313994
383	0.05579305768
384	0.05563689219
385	0.05541486655
386	0.05511031539
387	0.05491094544
388	0.05470249717
389	0.05445676774
390	0.05432168311
391	0.05409782532
392	0.05389912514
393	0.0537871417
394	0.05359339048
395	0.0534086629
396	0.05330999176
397	0.05310860197
398	0.05273750305
399	0.05261492154
400	0.05242808598
401	0.05207249844
402	0.05182575514
403	0.05167978986
404	0.05153042826
405	0.05138541873
406	0.05118785368
407	0.05107369038
408	0.05071633537
409	0.05061055676
410	0.05050220454
411	0.05023382815
412	0.05010278562
413	0.04991480731
414	0.0497231969
415	0.04953471747
416	0.04930865203
417	0.04912381072
418	0.04889126494
419	0.04875549861
420	0.04847529921
421	0.04833761265
422	0.04818727507
423	0.04801839852
424	0.04770696764
425	0.04754963862
426	0.04736283884
427	0.04714820666
428	0.04689925469
429	0.04653848577
430	0.04632044353
431	0.04620564954
432	0.04603825558
433	0.04588894413
434	0.04562374704
435	0.04539344283
436	0.04531679625
437	0.04523018388
438	0.04508895619
439	0.04502561737
440	0.04490771907
441	0.0447550174
442	0.04463725405
443	0.04451808017
444	0.04433637775
445	0.04420024007
446	0.04403771421
447	0.04383194332
448	0.04373608109
449	0.04364097739
450	0.04347286631
451	0.04330972966
452	0.04317047968
453	0.0430373039
454	0.04292457885
455	0.04286180194
456	0.04272210053
457	0.04253210829
458	0.04247334248
459	0.04226070864
460	0.04216713015
461	0.04203450603
462	0.04187442846
463	0.04173590779
464	0.04158627041
465	0.04140893512
466	0.04126354044
467	0.04114791742
468	0.04085321841
469	0.04076879978
470	0.04061832355
471	0.04039667947
472	0.04026509205
473	0.04011067698
474	0.03983091672
475	0.03971382779
476	0.03948060196
477	0.0393652964
478	0.03923005669
479	0.03901607432
480	0.03886848677
481	0.03872766061
482	0.03854758072
483	0.03843508965
484	0.03825952126
485	0.03804845002
486	0.03795722223
487	0.03785590919
488	0.03772832649
489	0.03765591222
490	0.03753832984
491	0.03741311713
492	0.03729645159
493	0.03712047291
494	0.03698278886
495	0.03684103652
496	0.03661377645
497	0.03649488305
498	0.03633983945
499	0.03624197936
